	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15																
247	Retina	Retinal Degenerations & Toxicities	Gyrate Atrophy	"247_ChoroidalDystrophies_GyrateAtrophy.jpg, 255_Table.png"	nil	# Inheritance pattern? 	 ‘- AR (Ch 10q26)	# Etiology? (enzyme defect)	- Ornithine aminotransferase deficiency	# Most common presentation?	"‘- Nyctalopia in 1st-2nd decades, VF + VA loss"	# Clinical findings?	"‘- Peripheral paving-stone + scalloped border
- PSC
- High myopia
- Decreased EOG; normal ERG"	# Serum levels of ornithine + lysine?	‘- High ornithine; low lysine	# Treatment?	‘- Vit B6 supplements > restrict arginine																																		
247	Retina	Retinal Degenerations & Toxicities	Choroideremia	"247_ChoroidalDystrophies_Choroideremia.jpg, 255_Table.png"	nil	# Inheritance pattern? 	‘- XR (Xq21; CHM gene)	# Etiology? (enzyme defect)	- Geranyl-geranyl transferase (rab escort protein) deficiency	# Most common presentation?	"‘- Night blindness, photophobia in 1st-2nd decade, constricted VF
- Central VA stable into age 40-50s"	# Clinical findings?	"‘- Absence of RPE + choriocapillaris except in macula
- Decreased ERG; decreased EOG"	# Clinical findings in female carriers?	‘- Salt and pepper fundus																																				
254	Retina	Retinal Degenerations & Toxicities	Crystalline Dystrophies	"254_CrystallineDystrophies_Systemic_Cystinosis_2.gif, 254_CrystallineDystrophies_Systemic_Cystinosis_3.gif"	Crystals in the cornea and conjunctiva*Crystal formation in the left cornea	# Etiology? (systemic causes)	"‘- Primary hereditary hyperoxaluria
- Cystinosis
- Secondary oxalosis
- Sjögren-Larsson syndrome (type of ichthyosis)"	# Etiology? (ocular causes)	"‘- Bietti crystalline dystrophy
- Calcific drusen
- Gyrate atrophy
- Juxtafoveal telangiectasia"	# Inheritance pattern of Bietti crystalline dystrophy?	- AR (CYP4V2)	# Clinical findings for Bietti crystalline dystrophy?	"- Marginal corneal dystrophy
- Choroidal sclerosis
- Progressive night blindness
- VF constriction"																																						
248	Retina	Retinal Degenerations & Toxicities	DDx of Salt and Pepper Fundus	248_DDx_SaltPepperFundus.jpg	nil	# DDx for salt and pepper fundus?	"- Leber congenital amaurosis
- Rubella retinopathy
- Congenital syphilis
- CPEO"	# CARriers:	"‘- <b><u>C</u></b>horoideremia
- <b><u>A</u></b>lbinism
- <b><u>R</u></b>P (also abnormal ERG)
NOT juvenile retinoschisis"	# Clinical findings of congenital rubella (1st tri vs. 2nd tri)?	"<u>1st Tri:</u>
- cataracts*
- deafness
- cardiac issues
*microspherophakic w/ retained lens nuclei; rarely occurs with glaucoma
 <u>2nd Tri:</u>
- Salt and pepper Fundus (most common)"																																								
244	Retina	Retinal Degenerations & Toxicities	DDx	"244_RPEdystrophies_PatternDystrophy_PatternedPigmentDystrophy_1.jpg, 249_BullsEyeDDx_AMD.png, 249_BullsEyeDDx_ConeDystrophy.png, 249_BullsEyeDDx_ConeRodDystrophy.jpg, 249_BullsEyeDDx_HydroxychloroquineToxicity.jpg, 249_BullsEyeDDx_StargardtsDisease.png"	Pattern Dystrophy*Wet AMD*Cone Dystrophy*Cone-Rod Dystrophy*Hydroxychloroquine (Plaquenil) toxicity*Stargardt Disease	# DDx of RDS/peripherin?	"- RP
- Pattern dystrophy
- Central areolar choroidal dystrophy
- Cone-rod dystrophy"	# DDx of Bull’s Eye Maculopathy	"- Stargardt’s 
- Cone dystrophy
- Chloroquine/Hydroxychloroquine toxicity
- AMD
- Chronic macular hole"																																										
250	Retina	Retinal Degenerations & Toxicities	DDx of Albinism	250_Albinism_1.jpg	OCA1 Auge	# Etiology of oculocutaneous albinism vs.ocular albinism?	"<u>Oculocutaneous albinism:</u>
- Less MELANIN
- Inheritance: AR
<u> Ocular albinsim:</u>
- Less MELANOSOMES
- Inheritance: XR, AR"	# Clinical findings?	"‘- Iris transillumination defects
- Decreased fundus pigmentation
- Foveal hypoplasia
- Sensory nystagmus"	# Potentially lethal forms? (2)	"<u>Chediak-Higashi syndrome</u>
- Recurrent pyogenic infections
- White forelock + silver hair
<u>Hermansky-Pudlak syndrome</u>
- Platelet dysfunction
- Puerto-Rican heritage"	# Prostaglandins increase production of which organelle?	‘- Melanosomes																																						
251	Retina	Retinal Degenerations & Toxicities	Hydroxy/chloroquine Toxicity	251_DrugToxicities_Hydroxycholoroquine.jpg	nil	# Toxic dose of Hydroxychloroquine (Plaquenil)?	‘- Plaquenil >1000g total	# Toxic dose of Chloroquine?	‘- Chloroquine >300g total	# Contraindications?	"- Increased toxicity w/ age, obesity, liver or renal dx"	# Clinical findings?	"‘- Decreased color (red) vision 
- Paracentral scotomas
- Bull’s eye maculopathy
- RP-like changes late"	# Diagnostic test? 	"‘- Red 10-2 HVF
- SD-OCT (loss of IS/OS jn)
- Multifocal ERG"																																				
251	Retina	Retinal Degenerations & Toxicities	Phenothiazines Toxicity	nil	nil	# Toxicity is rare with which phenothiazine?	‘- Chlorpromazine	# At what dosage does thioridazine become toxic?	 ‘- Thioridazine >800mg/day	# Action at uveal tissue and RPE?	‘- Binds to melanin	# Clinical findings?	"‘- Pigmentary retinopathy
-  Lid + conj pigmentation
-  Stellate anterior capsular cataract"	# Other cause of stellate ant caps cataract?	‘- Amiodarone																																				
251	Retina	Retinal Degenerations & Toxicities	Tamoxifen/Xanthines Toxicity	251_Tamoxifen.jpg	nil	# Toxic dose of tamoxifen?	‘- Tamoxifen >200mg/day	# Toxicity is rare with which xanthine?	‘- Canthaxanthine (carotenoid for tanning)	# Talc	nil	# Drug causes of secondary oxalosis? (2)	"‘- Ethylene glycol
- Methoxyflurane"	# Clinical findings?	"‘- Crystalline retinopathy
- Outer retinal defect"	# Additional info:	"- Except tamoxifen, others usually reversible when drug is stopped"																																		
252	Retina	Retinal Degenerations & Toxicities	Desferoxamine Toxicity	nil	nil	# Clinical findings?	"‘- Ring scotoma
- Pigmentary retinopathy
- Decreased ERG"																																												
252	Retina	Retinal Degenerations & Toxicities	Isotretinoin Toxicity	nil	nil	# Clinical findings?	"‘- Nyctalopia
- Decreased ERG   
- Reversible"																																												
252	Retina	Retinal Degenerations & Toxicities	Rifabutin Toxicity	nil	nil	# Clinical findings?	‘- Anterior + posterior uveitis																																												
252	Retina	Retinal Degenerations & Toxicities	Gentamicin Toxicity	nil	nil	# Clinical findings?	"‘- Macular atrophy
- Occurs with intracameral use after phaco in post-PPV patients"																																												
252	Retina	Retinal Degenerations & Toxicities	Digitalis Toxicity	nil	nil	# Clinical findings?	"‘- Yellow vision (xanthopsia)
- Pericentral scotoma
- Decreased acuity, color vision
- Reversible"																																												
252	Retina	Retinal Degenerations & Toxicities	Sildenafil Toxicity	nil	nil	# Clinical findings?	"‘- Blue vision
- ERG changes
- Reversible"																																												
253	Retina	Retinal Degenerations & Toxicities	Mucopolysaccharides	253_Table.png	nil	"<i>*Heparan N-sulfatase; N-acetyl D-glucosaminidase; acetyl-CoA-glucosaminidase-N,N-acetyltransferase; N-acetylglucosamine-6-sulfate sulfatase</i>
<i>**galactose-6-sulfatase; b-galactosidase</i>"																																													
262	Retina	Tumors	Choroidal Metastases	262_ChoroidalTumors_ChoroidalMetastases.jpg	nil	# Most common organs for primary tumors?	"‘- Breast (in women)
- Lung (in men)"	# Fundus appearance?	- Usually flat growth pattern (not collar-button/mushroom-shaped)	# Most common _____ tumor in adult	- intraocular																																								
262	Retina	Tumors	Choroidal Melanoma	"262_ChoroidalTumors_ChoroidalMelanoma.jpg, 263_ChoroidalMelanoma_1.jpg, 263_ChoroidalMelanoma_2.jpg"	nil	# Most common primary _____ tumor in adult	- intraocular	# Pathogenesis?	"‘- Mushroom-shaped when tumor breaks through Bruch’s membrane
- Glaucoma develops from liberation of melanin clogging TM"	# Appearance of sentinel vessel?	‘- Sign of ciliary body melanoma	# Location of metastasis?	‘- Hematogenous to liver	# Risk factors?	"‘- Melanosis oculi, nevus of Ota
- <u>T</u>hickness >2mm
- <u>F</u>luid (SRF)
- <u>S</u>ymptom
- <u>O</u>range (pigment)
- <u>M</u>argin (near optic nerve)
- <u>H</u>ollowness (on B-scan)
- <u>H</u>alo (absence)
- <u>D</u>rusen (absence)
<i>To Find Small Ocular Melanomas Using Helpful Hints Daily</i>"	# Risk of nevus conversion to melanoma?	"‘- 0 factor: 3% at 5 yrs
- 1 factor: 38% at 5 yrs
- 2+ factors: >50% at 5 yrs "	# Factors predicting survival?	"‘- Size of scleral contact and cell type
- Mean of 10 largest melanoma cell nuclei (MLN)
- Monosomy 3 (correlates with mets)"	# Ultrasound appearance?	‘- Low reflectivity	# Callender classification?	"<u>Spindle cell nevus</u>
- Spindle A cells
<u>Spindle cell melanoma</u>
- Best prognosis
- Mix of spindle A & B cells
- 25% 15-year mortality
<u>Mixed</u>
- 50% 15-year mortality
<u>Epithelioid melanoma</u>
- Worst prognosis
- Epithelioid cells
- 75% 15-year mortality"	# Results from the Collaborative Ocular Melanoma Study (COMS)?	"<u>Large (>10mm height, >16mm dia)</u>
- Enucleation = pre-XRT + enucleation
<u>Medium (2.5-10mm height, <16mm dia)</u>
- PBT = enucleation in 5 yr mortality
<u>Small (1.5-2.4mm height, 5-16mm dia)</u>"																										
265	Retina	Tumors	Choroidal Osteoma	265_CalcificChoroidalLesions_ChoroidalOsteoma.jpg	nil	# Clinical findings?	"‘- Benign
- May mimic melanoma
- Peripapillary or macula"	# Diagnostic test?	‘- B-scan shows high-amplitude echo with posterior shadowing	"# May develop CNV
# Very slowly progressive"																																									
265	Retina	Tumors	Sclerochoroidal Calcification	nil	nil	# Fundus appearance?	‘- Yellow placoid appearance	# Diagnostic test?	"‘- Auto-fluorescent
- FA: early blockage with late staining
- B-scan shows high-reflectivity"	# Diseases associated with sclerochoroidal calcification?	"‘- Hyperparathyroidism
- Vitamin D intoxication
- Gitelman/Bartter dx
- Renal disease"																																								
264	Retina	Tumors	Congenital hypertrophy of the RPE (CHRPE)	"264_OtherPigmentedLesions_CHRPE_1.png,264_OtherPigmentedLesions_CHRPE_2.jpg,264_OtherPigmentedLesions_CHRPE_3.png"	nil	# Definition?	"- Congenital hypertrophy of the RPE
- Benign"	# Clinical findings of Gardner Syndrome?	"‘- Intestinal polyposis + fish-shaped CHRPE 
- CHRPEs are usually small, ovoid, variegated, multiple, bilateral
- Inheritance: AD"																																										
257	Retina	Surgical Retina	Peripheral Retina	"257_PeripheralRetina_CystoidDegeneration.gif, 257_PeripheralRetina_LatticeDegeneration.png, 257_PeripheralRetina_PVD.jpg"	Extensive Retinal Peripheral Cystoid Degeneration*Lattice Degeneration*Posterior Vitreous Detachment (PVD)	# Incidence of <u>posterior vitreous detachment (PVD)</u>?	"- 63% in age>70; low in age<50
- 93% in aphakics
- 84% s/p ICCE
- 76% s/p ECCE w/ open PC
- 40% s/p ECCE w/ intact PC"	# Risk of retinal tear in PVD?	"- 15% if symptomatic
- 50-70% if hemorrhagic (vs. 10% if no heme)"	# Incidence of <u>lattice degeneration</u>?	"- 6-10% of eyes   
- 20-30% in RD"	# Risk of retinal tear in <u>cobblestone degeneration</u>?	‘- No increased risk for tear/RD	# Risk of retinal tear in <u>cystoid degeneration</u>?	‘- May lead to retinoschisis	# Vitreoretinal tufts																																			
258	Retina	Surgical Retina	"Retinal Detachment: RRD, TRD, SRD"	nil	nil	# Most common location for <u>rhegmatogenous RD (RRD)</u>?	- 10:00 – 2:00	# Risk factors for RRD?	"- RD in fellow eye (10-15%)
- Myopia/long axial length (7-8%)
- Lattice degeneration (1%)
- Family history
- Male gender"	# Risk of retinal breaks after blunt trauma?	"- Inferotemporal dialysis (most common)
- Superonasal dialysis
- Giant retinal tears (>90 deg)
- Flap tears
- Tears around lattice (least common)"	# Dieases associated with <u>tractional RD (TRD)</u>?	"‘- DM retinopathy, ROP, FEVR"	# Diseases associated with <u>serous RD (SRD)</u>?	"‘- Posterior uveitis, melanoma"	# Questions to consider when evaluating new RD?	"‘- Break?
- Other pathology? (lattice)
- Phakic? 
- PVR?"																																		
259	Retina	Surgical Retina	Proliferative Vitreoretinopathy (PVR)	259_PVR.jpg	nil	# Grading? (A - C)	"<u>Grade A</u>: vit haze or pigment clumps
<u>Grade B</u>: retinal wrinkling/stiffness, vessel tortuosity, rolled/irregular edge of break, decreased vitreous mobility
<u>Grade C</u>: focal, diffuse, or circumferential full-thickness folds, subretinal strands 
- A = anterior to equator
- P = posterior to equator
- 1 = focal (starfold)
- 2 = diffuse
- 3 = subretinal     
- 4 = circumferential
- 5 = anterior displacement"	# Treatment? 	‘- Isotretinoin (Accutane)																																										
260	Retina	Surgical Retina	RD Repair	"260_Table_1.png, 260_Table_2.png"	nil	# Gas and oil info:	"‘- 0.25mL covers 90 deg at equator
- 2.50mL covers 180 deg at equator
- Avoid nitric oxide anesthesia
- Surface tension oil << gas/air
- Air/Gas increases field of view"	# Wound size for 20G? 23G? 25G?	"‘- 20G: 0.89mm
- 23G: 0.75mm
- 25G: 0.5mm"	# BSS plus components? (3)	"‘- Glutathione
- Dextrose
- Bicarbonate buffer"	# Clinical outcomes?	"<u>Pneumatic vs SB</u>
- <1 c’hr break; <8 c’hr RD
<u>Pneumatic > SB s/p 24 mo</u>
- PPV vs SB (SPR study)
- 400pts; exclude PVR grade B/C
- 1yr VA (primary), post-op PVR, redetachment, re-op
- PPV > SB in pseudophakics
- PPV = SB in phakics
- PPV + SB dec. redetachment"	# Prognosis?	"‘- Mac-on: 87% VA>20/50
- Mac-off <1wk: 75% VA>20/70
- Mac-off 1-8wks: 50% VA>20/70"																																				
241	Retina	Surgical Retina	Adult Retinoschisis	"241_Retinoschisis_AdultRetinoschisis_1.jpg, 241_Retinoschisis_AdultRetinoschisis_2.jpg, 241_Retinoschisis_AdultRetinoschisis_3.jpg"	Combined Schisis-Rhegmatogenous RD*Bullous Retinoschisis*Retinoschisis with Multiple Outer Layer Holes	# Peripheral schisis at which layers? (2)	"‘- OPL (involutional/senile)
- NFL (reticular)"	# Common location? Frequency of bilateral?	"‘- Inferotemporal
- 50-80% bilateral"	# Etiology?	‘- Arises from peripheral cystoid degeneration	# Risk of progression to RD?	‘- 3% 	# Distinguishing features from RD?	"‘- Absolute scotoma (vs. relative in RD)
- Blanches with laser 
- Associated with hyperopia
- Smooth, dome-shaped appearance
- Shafer sign rare"																																				
202	Retina	Surgical Retina	Epiretinal Membrane (ERM)	"202_VitreoretinalInterface_ERM_1.jpg, 202_VitreoretinalInterface_ERM_2.jpg"	nil	# Etiology?	"- Can be idiopathic or secondary to vascular occlusions, inflammation, surgery, trauma, or retinal breaks (allows RPE migration onto retina)
- Stable (>75% maintain >20/50)"	# Treatment?	- PPV/MP if visually significant or severe metamorphopsia 	# Prognosis of surgery?	- 66-75% has VA improvement	# Surgical complications?	- 2-7% recurs																																						
202	Retina	Surgical Retina	Vitreomacular Traction Syndrome (VMT)	202_VitreoretinalInterface_ERM_2.jpg	nil	# Definition of VMT?	- Vitreomacular adhesion (VMA) with traction	# Treatment?	"‘- PPV/MP (risks unknown)
- Ocriplasmin (microplasmin) - truncated form of plasmin"	# Results from the MIVI-TRUST Study on ocriplasmin (OCP) intravitreal injections?	"- OCP > placebo in VMA resolutn (26% vs 12%)
- OCP > placebo in MH closure (40% vs 25%)
- OCP > placebo in VA gain (12% vs 9%)
- Better if phakic, no ERM"																																								
203	Retina	Surgical Retina	Full-Thickness Macular Holes	203_MacularHoles_OCT.jpg	nil	# Clinical test?	- Watzke-allen test	# Stages (antiquated)? (4)	"<u>Stage 1</u>
- 1A (pseudocyst); 1B (outer layer loss) 
- 50% spontaneously resolve (no surgery)
<u>Stage 2</u>
- Full-thickness hole <400um
<u>Stage 3</u>
- Full-thickness >400um + elevated rim
<u>Stage 4</u>
- Hole with PVD"	# New grading system?	"‘- Small <250um
- Medium 250-400um
- Large >400um"	# Treatment?	"‘- Jetrea (if <250um + VMA present)
- PPV (if >250um) + ILMP (if >400um)"	# Success of PPV treatment?	"‘- 92% closure; 50% if re-op
- short-acting gas (SF6 or 10% C3F8)
- ILMP (_closure) if >400µm
- Face down (3 days; _closure if >400µm)"	# Treatment for <i>traumatic</i> macular holes?	- Observation (no traction; spontaneous closure ~2 mo)	# What is a <u>pseudohole</u>?	"‘- Appearance of hole w/ steep walls
- Caused by vascular tortuosity around macula"	# What is a <u>lamellar hole</u>?	"‘- Thin layer of retina lifted w/ walls “bulging out”
- May be precursor or resolved macular hole"																														
269	Retina	Surgical Retina	Stickler Syndrome	nil	nil	# Inheritance pattern?	‘- AD	# Clinical findings?	"‘- Progressive high myopia
- Retinal detachment
- Optically empty vitreous
- Pigmentary retinopathy 
- Increased risk of glaucoma"	# Systemic symptoms?	"‘- Arthritis, joint hypermobility, progressive hearing loss, heart defects"	# Associated craniofacial malformation?	‘- Peirre-Robin (flat midface + cleft palate)	# Defect in which type of collagen?	‘- Type 2 (component of secondary vitreous)	# ERG appearance?	‘- Decreased B-wave																																		
269	Retina	Surgical Retina	Jansen/Wagner Disease	269_OpticallyEmptyVitreous_JansenWagnerDisease.png	nil	# Inheritance pattern?	‘- AD	# Clinical findings?	"‘- Myopia
- Strabismus"	# Risk of RD? (Jansen vs. Wagner)	"‘- Jansen (increased risk of RD)
- Wagner (NO increased risk)"																																								
270	Retina	Surgical Retina	Asteroid Hyalosis	"270_Vitreous_AsteroidHyalosis_1.jpg, 270_Vitreous_AsteroidHyalosis_2.png"	nil	# Clinical findings?	"‘- Calcium soaps
- Usually unilateral
- Maltese cross birefringence on polarization"	# Components of the vitreous?	"‘- 99% water (compared with 75% in cornea)
- Collagen
- Hyaluronic acid"	# Ocular findings associated with decreased hyaluronic acid?	"‘- Myopia, aphakia, vitreous hemorrhage"																																								
204	Retina	Surgical Retina	Vitreous Hemorrhage	"204_TersonSyndrome_1.jpg, 204_TersonSyndrome_2.png"	Preretinal Heme*Subarachnoid Hemorrhage	# Definition of <u>Terson syndrome</u>?	"‘- Vitreous + subhyaloid heme caused by acute rise in ICP
- 30% subarachnoid or subdural hemorrhage have intraocular heme"	# Treatment for <u>Terson syndrome</u>?	‘- PPV (works well)	# Definition of <u>ochre membrane</u>?	- Heme on the posterior surface of detached vitreous	# Definition of <u>synchysis scintillans</u>?	"- Refractile, yellow cholesterol crystals in vitreous after resolution of the vitreous hemorrhage"																																						
256	Uveitis	Tumors	Cancer Associated Retinopathy (CAR)	nil	nil	# Affects which cells?	‘- Rods + cones	# Symptoms?	"‘- Photopsias
- Ring scotoma
- Central VF loss
- Rapid progression"	# ERG?	‘- Decreased a=b waves	# Antibodies to?	"‘- Recovern, a-enolase, arrestin, TULP-1, HSP70"	# Most common cancers?	"‘- Lung (50% small cell), ovarian, colon"	# Treatment?	‘- Immunosuppression																																		
256	Uveitis	Tumors	Melanoma Associated Retinopathy (MAR)	nil	nil	# Affects which cells? 	‘- Bipolar cells	# Symptoms?	"‘- Photopsias
- Night blindness
- Peripheral VF loss early"	# ERG?	‘- Negative waveform	# Antibodies to?	"‘- Bipolar cells, transducin"	# Treatment? 	‘- Immunosuppression																																				
