Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15
Retina	Tumors	Choroidal Metastases	262_ChoroidalTumors_ChoroidalMetastases.jpg	nil	"# Most common intraocular tumor in adult
# Most commonly from?"	"‘- Breast (in women)
- Lung (in men)"	# Usually flat growth pattern (not collar-button / mushroom-shaped)																											
Retina	Tumors	Choroidal Melanoma	"262_ChoroidalTumors_ChoroidalMelanoma.jpg, 263_ChoroidalMelanoma_1.jpg, 263_ChoroidalMelanoma_2.jpg"	nil	"# Most common primary intraocular tumor in adult
# Pathogenesis:"	"‘- Mushroom-shaped when tumor breaks through Bruch’s membrane
- Glaucoma develops from liberation of melanin clogging TM"	# Sentinel vessel?	‘- Sign of ciliary body melanoma	# Metastasis to?	‘- Hematogenous to liver	# Risk factors:	"‘- Melanosis oculi, nevus of Ota

- Thickness >2mm
- Fluid (SRF)
- Symptom
- Orange (pigment)
- Margin (near optic nerve)
- Hollowness (on B-scan)
- Halo (absence)
- Drusen (absence)
To Find Small Ocular Melanomas Using Helpful Hints Daily"	# Risk of nevus conversion to melanoma	"‘- 0 factor: 3% at 5 yrs
- 1 factor: 38% at 5 yrs
- 2+ factors: >50% at 5 yrs "	# Factors predicting survival?	"‘- Size of scleral contact and cell type
- Mean of 10 largest melanoma cell nuclei (MLN)
- Monosomy 3 (correlates with mets)"	# Ultrasound?	‘- Low reflectivity	# Callender classification?	"‘- Spindle cell nevus
## Spindle A cells
- Spindle cell melanoma
## Best prognosis
## Mix of spindle A & B cells
## 25% 15-year mortality
- Mixed
## 50% 15-year mortality
-  Epithelioid melanoma
## Worst prognosis
## Epithelioid cells
## 75% 15-year mortality"	# Collaborative Ocular Melanoma Study (COMS)	"‘- Large (>10mm height, >16mm dia)
## Enucleation = pre-XRT + enucleation
- Medium (2.5-10mm height, <16mm dia)
## PBT = enucleation in 5 yr mortality
- Small (1.5-2.4mm height, 5-16mm dia)"												
Retina	Tumors	Choroidal Osteoma	265_CalcificChoroidalLesions_ChoroidalOsteoma.jpg	nil	# Features:	"‘- Benign
- May mimic melanoma
- Peripapillary or macula"	# Test?	‘- B-scan shows high-amplitude echo with posterior shadowing	"# May develop CNV
# Very slowly progressive"																									
Retina	Tumors	Sclerochoroidal Calcification	nil	nil	# Appearance?	‘- Yellow placoid appearance	# Test?	"‘- auto-fluorescent
- FA: early blockage with late staining
- B-scan shows high-reflectivity"	# Maybe associated with?	"‘- Hyperparathyroidism
- Vitamin D intoxication
- Gitelman/Bartter dx
- Renal disease"																								
Retina	Tumors	Congenital hypertrophy of the RPE (CHRPE)	264_OtherPigmentedLesions_CHRPE_2.jpg	nil	"# Benign
# Features of Gardner Syndrome:"	"‘- Intestinal polyposis & fish-shaped CHRPE 
- CHRPEs are usually small, ovoid, variegated, multiple, bilateral
- Inheritance: AD"																												
Retina	Retinal Detachment	Peripheral Retina	"257_PeripheralRetina_CystoidDegeneration.gif, 257_PeripheralRetina_LatticeDegeneration.png, 257_PeripheralRetina_PVD.jpg"	Extensive Retinal Peripheral Cystoid Degeneration*Lattice Degeneration*Posterior Vitreous Detachment (PVD)	"# Posterior Vitreous Detachment (PVD)
- Incidence:"	"## 63% in age>70; low in age<50
##  93% in aphakics
##  84% s/p ICCE
##  76% s/p ECCE w/ open PC
##  40% s/p ECCE w/ intact PC"	‘- Risk of retinal tear:	"##  15% if symptomatic
##  50-70% if hemorrhagic (vs. 10% if no heme)"	"# Lattice Degeneration
- Incidence:"	"## 6-10% of eyes   
## 20-30%  in RD"	# Cobblestone Degeneration	‘- No increased risk for tear/RD	# Cystoid Degeneration	‘- May lead to retinoschisis	 Vitreoretinal Tufts																			
Retina	Retinal Detachment	"Retinal Detachment: RRD, TRD, SRD"	nil	nil	"# Rhegmatogenous RD (RRD)
- Most common location?"	## 10:00 – 2:00	‘- Risk factors for retinal detachment?	"## RD in fellow eye (10-15%)
## Myopia / long axial length (7-8%)
##  Lattice Degeneration (1%)
##  Family History
##  Male gender"	‘- Likelihood of retinal breaks after blunt trauma?	"## Inferotemporal dialysis (most common)
## Superonasal dialysis
## Giant retinal tears (>90 deg)
## Flap tears
## Tears around lattice (least common)"	# Tractional RD (TRD) is seen in what conditions?	"‘- DM retinopathy, ROP, FEVR"	# Serous RD is seen in what conditions?	"‘- Posterior uveitis, melanoma"	# What are you considering when evaluating new RD?	"‘- Break?
- Other pathology? (lattice)
- Phakic? 
- PVR?"																		
Retina	Retinal Detachment	Proliferative Vitreoretinopathy (PVR)	259_PVR.jpg	nil	# Grading:	"‘- Grade A: vit haze or pigment clumps
- Grade B: retinal wrinkling/stiffness, vessel tortuosity, rolled/irregular edge of break, decreased vitreous mobility
- Grade C: focal, diffuse, or circumferential full-thickness folds, subretinal strands 
## (A=ant to equator; P=post to equator)
## 1 = focal (starfold)
## 2 = diffuse
## 3 = subretinal     
## 4 = circumferential
## 5 = anterior displacement"	# Medical treatment? 	‘- Isotretinoin (Accutane)																										
Retina	Retinal Detachment	RD Repair	"260_Table_1.png, 260_Table_2.png"	nil	# Gas & Oil	"‘- 0.25mL covers 90 deg at equator
- 2.50mL covers 180 deg at equator
- Avoid nitric oxide anesthesia
- Surface tension oil << gas / air
- Air/Gas increases field of view"	# Wound size for 20G?	‘- 0.89mm	# Wound size for 23G?	‘- 0.75mm	# Wound size for 25G?	‘- 0.5mm	# BSS plus components? (3)	"‘- Glutathione
- Dextrose
- Bicarbonate buffer"	# Outcomes:	"‘- Pneumatic vs SB
## <1 c’hr break; <8 c’hr RD
‘- Pneumatic > SB s/p 24 mo
## PPV vs SB (SPR study)
##  400pts; exclude PVR grade B/C
## 1yr VA (primary), post-op PVR, redetachment, re-op
## PPV > SB in pseudophakics
## PPV = SB in phakics
## PPV + SB dec. redetachment"	# Prognosis:	"‘- Mac-on: 87% VA>20/50
- Mac-off <1wk: 75% VA>20/70
- Mac-off 1-8wks: 50% VA>20/70"																
Retina	Retinal Detachment	Adult Retinoschisis	"241_Retinoschisis_AdultRetinoschisis_1.jpg, 241_Retinoschisis_AdultRetinoschisis_2.jpg, 241_Retinoschisis_AdultRetinoschisis_3.jpg"	Combined Schisis-Rhegmatogenous RD*Bullous Retinoschisis*Retinoschisis with Multiple Outer Layer Holes	# Split at what layer (2 types)?	"‘- OPL (involutional / senile)
- NFL (reticular)"	# Common location? Frequency of bilateral?	‘- Inferotemporal; 50-80% bilateral	# How does a patient develop Adult Retinoschisis?	‘- Arises from peripheral cystoid degeneration	# What is the risk of progression to RD?	‘- 3% 	# How to distinguish from RD?	"‘- Absolute scotoma (vs. relative in RD)
- Blanches with laser 
- Associated with hyperopia
- Smooth, dome-shaped appearance
- Shafer sign rare"																				
Retina	Vitreous	Stickler Syndrome	nil	nil	# Inheritance?	‘- AD	# Characteristics?	"‘- Progressive high myopia
- Retinal detachment
- Optically empty vitreous
- Pigmentary retinopathy 
- Increased risk of glaucoma"	# Systemc sxs?	"‘- Arthritis, joint hypermobility, progressive hearing loss, heart defects"	# What craniofacial malformation?	‘- Peirre-Robin (flat midface & cleft palate)	# Defect in what collagen?	‘- Type 2 (component of secondary vitreous)	# ERG?	‘- Decreased B-wave																		
Retina	Vitreous	Jansen/Wagner Disease	269_OpticallyEmptyVitreous_JansenWagnerDisease.png	nil	# Inheritance?	‘- AD	# Associations?	"‘- Myopia, strabismus"	# Risk of RD?	"‘- Jansen (increased risk of RD)
- Wagner (NO increased risk)"																								
Retina	Vitreous	Asteroid Hyalosis	"270_Vitreous_AsteroidHyalosis_1.jpg, 270_Vitreous_AsteroidHyalosis_2.png"	nil	# Features   	"‘- Calcium soaps
- Usually unilateral
- Maltese cross birefringence on polarization"	# Vitreous consists mostly of?	"‘- 99% water (compared with 75% in cornea)
- Collagen & hyaluronic acid"	# Hyaluronic concentration decreased in?	"‘- Myopia, aphakia, vitreous hemorrhage"																								
Retina	Vitreous	Vitrous Hemorrhage	"204_TersonSyndrome_1.jpg, 204_TersonSyndrome_2.png"	Preretinal Heme*Subarachnoid Hemorrhage	# What is the definition of Ochre Membrane?	- Heme on posterior surface of detached vitreous	# What is the definition of Synchysis Scintillans?	"- Refractile, yellow cholesterol crystals in vitreous after resolution of VH"	# What is the definition of Purtscher Retinopathy?	"‘- Usually peripapillary hemorrhages, cotton-wool spots, & edema after acute compression injuries to head or thorax
- FA: arteriolar leakage"	# What is the etiology of Purtscher's Retinopathy?	"- Injury-induced complement activation & granulocyte aggregation
"	# What are causes of Purtscher-like Retinopathy?	"- Acute pancreatitis
- SLE (Lupus)
- Amniotic fluid embolism
- Fat embolism
- Renal failure
- Retrobulbar anesthesia"																				
Uveitis	Tumors	Cancer Associated Retinopathy (CAR)	nil	nil	# Affects which cells?	‘- Rods + cones	# Symptoms?	"‘- Photopsias
- Ring scotoma
- Central VF loss
- Rapid progression"	# ERG?	‘- Decreased a=b waves	# Antibodies to?	"‘- Recovern, a-enolase, arrestin, TULP-1, HSP70"	# Most common cancers?	"‘- Lung (50% small cell), ovarian, colon"	# Treatment?	‘- Immunosuppression																		
Uveitis	Tumors	Melanoma Associated Retinopathy (MAR)	nil	nil	# Affects which cells? 	‘- Bipolar cells	# Symptoms?	"‘- Photopsias
- Night blindness
- Peripheral VF loss early"	# ERG?	‘- Negative waveform	# Antibodies to?	"‘- Bipolar cells, transducin"	# Treatment? 	‘- Immunosuppression																				
Neuro-Ophthalmology	Optic Disc Anomalies	Morning Glory Anomaly	266_OpticDiscAnomalies_MorningGlory.jpg	nil	# Features:	"‘- Vessels radiate from periphery of excavation with central glial tuft 
- Unilateral
- Female>male (2:1)
- Associated with myopia"	# Causes what retinal problem?	‘- Serous RD (33%)	# Associated with what systemic problems? (3)	"‘- Basal encephalocele
- Moyamoya
- PHACE syndrome"	# Compare with Papillorenal Syndrome	"‘- Dysplastic kidneys with “vacant” optic discs (excavation without central glial tuft)
- Associated with PAX2 mutation"																						
Neuro-Ophthalmology	Optic Disc Anomalies	Optic Pit	"266_OpticDiscAnomalies_OpticPit_1.jpg , 266_OpticDiscAnomalies_OpticPit_2.jpg"	nil	# Features:	"‘- Gray-white depression
 - 85% unilateral"	# Location? 	‘- Inferotemporal	# Causes retinal problem?	‘- Serous RD (40%)	# Treatment?	"‘- Diamox, laser around ON, PPV+Gas"																						
Neuro-Ophthalmology	Optic Disc Anomalies	Optic Nerve Coloboma	266_OpticDiscAnomalies_OpticNerveColoboma.jpg	nil	# Features:	"‘- Large anomalous disc with deep excavation
- Unilateral or bilateral"	# Location? 	‘- Inferonasal	"# Due to incomplete closure of embryonic fissure
# May have other colobomas"																									
Neuro-Ophthalmology	Optic Disc Anomalies	Optic Disc Drusen	267_OpticDiscAnomalies_OpticDiscDrusen.jpg	nil	# Features:	"‘- Hyaline bodies in prelaminar optic nerve
- 75% bilateral"	# Inheritance? 	‘- Sporadic or AD	# Associated with?	"‘- Angioid streaks
- Retinitis pigmentosa
- Alagille’s syndrome"	# Diagnosis: 	"‘- B-scan: high reflectivity
- Autofluorescence
-  FA: early blockage, late staining
-  CT: calcification"																						
Neuro-Ophthalmology	Optic Disc Anomalies	Melanocytoma	"267_OpticDiscAnomalies_Melanocytoma_1.png, 267_OpticDiscAnomalies_Melanocytoma_2.png"	nil	"# Aka magnocellular nevus (benign proliferation of melanocytes)
# Features:"	"‘- Deeply pigmented tumor with feathery borders
- No capsule, causing rapid growth, autoinfarction, and release of cells
- Rarely malignant"																												
Neuro-Ophthalmology	Optic Disc Anomalies	Astrocytic Hamartoma	267_OpticDiscAnomalies_AstrocyticHamartoma.jpg	nil	# Features:	"‘- Yellow, mulberry-like lesion with occasional calcification"	# Associated with?	"‘- Tuberous sclerosis
- NF (rare)"																										
Neuro-Ophthalmology	Optic Nerve Hypoplasia	De Morsier Syndrome	"268_OpticNerveHypoplasia_DeMorsierSyndrome_1.png, 268_OpticNerveHypoplasia_DeMorsierSyndrome_2.png"	nil	# Features:	"‘- Double-ring sign
- Bilateral ON hypoplasia"	# Associated with?	"‘- Absence of septum pellucidum
- Hypothalamus & pituitary deficiency (usu. growth hormone deficiency)
- Agenesis of corpus callosum"	# Work-up?	‘- Get MRI and endocrine consult	# What does the MRI show?	‘- Upside-down liberty bell sign																						
Neuro-Ophthalmology	Optic Nerve Hypoplasia	Aicardi Syndrome	nil	nil	# Triad?	"‘- Infantile spasms or seizures
- Agenesis of corpus callosum
- Pathognomic chorioretinal lacunae"	# Inheritance?	‘- XD (X-linked dominant; lethal in males)																										
Neuro-Ophthalmology	Optic Nerve Hypoplasia	Superior Segmental ON Hypoplasia	nil	nil	# Features:	"‘- Central retinal artery arise from superior ON
- Dense inferior VF defects"	# Etiology?	‘- Mother with diabetes																										
